"episode"	"plot"	"season"	"title"	"rating"
11	"When India sends troops into Kashmir, President Bartlett calls for a British former ambassador to India to help out - over Leo's strong objections.    "	1	"Lord John Marbury"	8.3
12	"When the President collapses on the eve of his State of the Union, it's diagnosed as the flu. But when the First Lady cancels a trip and rushes home to look after him, Leo suspects the first family is hiding something about Bartlett's medical condition.    "	1	"He Shall, from Time to Time..."	8.7
13	"In preparation for the Friday night briefing for the Saturday papers and news broadcasts -- nicknamed ""take out the trash day"" because it disposes of all the stories the White House doesn't want heavy coverage on, and because Saturday is the least read paper of the week -- the staff take on a variety of chores: C.J. prepares to meet with the family of a Matthew Shepard-type victim of murder just because he was gay, and discovers something unexpected about the young man's reticent father; Josh and Sam contend with an angry Republican house committee leader who wants to...    "	1	"Take Out the Trash Day"	8.6
14	"A drug dealer's appeal of the federal death penalty is rejected by the Supreme Court, which upholds the death sentence with execution scheduled for the following Monday. One of the defense lawyers on the case is Sam's old high school bully, and he appeals directly to Sam to involve the president. During a weekend in which he was supposed to be in a yacht race, Sam opts to stay at the W.H. and try to convince his fellow staffers and ultimately Bartlet that the president should commute the sentence. Meanwhile Josh, after a night of heavy drinking at a bachelor party, ...    "	1	"Take This Sabbath Day"	8.9
15	"In a lecture at Georgetown, Josh recalls the previous week at the White House, during which he replaced a dentally impaired C.J. in the press room and gave a memorably disastrous briefing, responding to a reporter's question (sarcastically, although taken quite seriously) that the White House had a secret plan to fight inflation. Meanwhile, he's intermittently on the phone with Toby and Sam, who have flown to Connecticut and are now lost in a rental car on the Connecticut Turnpike. They've gone on critical business: the president's nominee for the Supreme Court, ...    "	1	"Celestial Navigation"	9.0
16	"The President meets Zoey's new bodyguard on a 20-hour trip to California; Josh tries to keep a fund raiser from being canceled; Leo needs the VP to break a 50-50 tie in the Senate.    "	1	"20 Hours in L.A."	8.1
17	"When the Federal Reserve Chairman dies, Bartlet must quickly choose a successor in order to avoid a financial chaos. However, he is reluctant to pick the obvious choice for Fed Chair, who used to be Abby's boyfriend. The matter is worsened when Danny Concanon receives a quote from the first lady saying she supports her ex-boyfriend, leaving Bartlett more irate. Meanwhile, Josh and Toby are courting congressman in order to get more votes for a bill they already won. However, a congresswoman, who felt 'betrayed' by Abby, poses a threat to the bill.    "	1	"The White House Pro-Am"	7.9
18	"The morning after Mendoza's confirmation, various staff members are brought back to earth by difficult meetings.    "	1	"Six Meetings Before Lunch"	8.3
19	"The West Wing staff are feeling malaise as it seems they never get anything accomplished. Meanwhile, a leaked memo is a land mine that could embarrass the administration.    "	1	"Let Bartlet Be Bartlet"	9.0
20	"A newly energized administration prepares to take on soft money, increase addiction treatment, and remove mandatory minimum sentencing.    "	1	"Mandatory Minimums"	8.5
21	"The staff waits for a poll to tell them if their new, activist policies are moving them in the right direction. C.J. feels like her opinions are being discounted.    "	1	"Lies, Damn Lies and Statistics"	8.7
22	"A stealth fighter is shot down over Iraq, leading to Bartlet ordering a military rescue as Toby worries about his brother trapped on a space shuttle orbiting the Earth. CJ deals with the ramifications of misleading the press about the rescue as the staff prepares for a town hall meeting that night. The town hall meeting goes well until the President leaves...and shots ring out.    "	1	"What Kind of Day Has It Been"	9.2
1	"The President is rushed to hospital following a shooting; staffers field questions on protection measures and executive authority. Flashbacks show how key staff members joined the Bartlet campaign.    "	2	"In the Shadow of Two Gunmen: Part I"	9.4
2	"A suspect in the presidential shooting is caught; staffers anxious await news on Bartlet and Josh's injuries; flashbacks show how C.J. and Donna joined Bartlet's campaign.    "	2	"In the Shadow of Two Gunmen: Part II"	9.3
3	"With the midterm elections coming up, Toby looks for a way to stop hate groups; Charlie and Zoey decide whether to continue their relationship; President Bartlet discovers the egg cream and is concerned about an ultra-right-wing candidate running for school board in his old district in New Hampshire; and Sam is asked to put White House help behind an old friend running for Congress. This episode includes the President's confrontation with a right-wing radio talk show host using a famous list of modern applications of Biblical laws. Oh, yes, and psychics at Cal Tech ...    "	2	"The Midterms"	8.4
4	"After a Republican commentator trounces Sam on television, President Bartlett decides to hire her over the objections of the staff. Josh and Toby mediate a conference between U.S. drug companies and an African President whose country is dying of AIDS.    "	2	"In This White House"	8.7
5	"Sam helps Josh battle his health insurance company; Ainsley Hayes encounters her firebrand boss and hostile colleagues; Abby gives the President some good news about his health; C.J. discovers a retiring General intends to publicly criticize the president.    "	2	"And It's Surely to Their Credit"	8.4
6	"The administration considers recalling Congress to pass a nuclear test ban treaty; a Ukranian politician arrives unannounced at the White House; Sam reluctantly asks Ainsley to summarize a position paper; C.J.'s personal and professional relationship with Danny becomes more complex.    "	2	"The Lame Duck Congress"	7.8
7	"C.J. joins the President on a flight to Portland after a wisecrack about Notre Dame; Josh seeks to defeat an anti-gay marriage bill; Sam wants to rewrite an education speech; an oil tanker appears to be violating UN sanctions; Josh teases Donna over her dating record.    "	2	"The Portland Trip"	8.0
8	"Dozens of Chinese stowaways are discovered in a container ship in California; Toby looks to pick a fight over school prayer with a recess appointment; Thanksgiving at the White House sees C.J. in charge of turkeys and Charlie looking for the ultimate carving knife.    "	2	"Shibboleth"	8.5
9	"The President and NASA plan a TV event for a probe's landing on Mars; satellite photographs show a suspicious-looking fire in Russia; Leo asks Toby and Josh to decide on the next postage stamp; Sam and C.J. have personal reasons for not wanting to accompany the President to a concert.    "	2	"Galileo"	8.3
10	"Josh speaks to a psychiatrist about the events of the last three weeks: Toby hired musicians for the foyer, an Air Force pilot disobeyed orders, Yo-Yo Ma performed at the White House, and Josh managed to cut his hand quite badly.    "	2	"Noël"	9.4
11	"Toby wants to use a bipartisan breakfast to discuss real issues instead of making it a staged event; Sam floats the idea of moving the press room across the street; Leo wants Josh to apologize to a columnist on his behalf; Leo and Toby realize they need to start thinking about reelection.    "	2	"The Leadership Breakfast"	8.1
12	"Sam meticulously prepares a speech for the President to give to the environmental lobby, but Toby wants to sneak in some criticism of their failure to condemn environmental terrorism. Leo tries to convince the President to support his pet project - a missile defense shield - despite its continued failure to produce results, and the fact that it likely contravenes an anti-ballistic missile treaty. Several countries including Great Britain have sent new ambassadors to Washington to be recognized by the White House. C.J. travels to New York on a delicate mission to ask ...    "	2	"The Drop In"	7.9
13	"While a live TV show is broadcast from the West Wing following the State of the Union, the staff must covertly deal with a hostage situation in Colombia. CJ learns that a special guest at the state of the union has a black mark on his record that could taint the administration. Ainsley Hayes is afraid to meet the President in person.    "	2	"Bartlet's Third State of the Union"	8.4
14	"President Bartlet is fighting a war on two fronts as he tries to rescue hostages in Colombia and deal with explaining to his wife why he's breaking his word to her by running for a 2nd term.    "	2	"The War at Home"	8.4
15	"The surgeon general makes some controversial comments about marijuana, leading to an attack by family values groups and an unsolicited comment by Bartlet's middle daughter, Ellie, to Danny Concannon that her father wouldn't fire the s.g. The president summons Ellie from med school in Baltimore to the W.H., and we learn that she, unlike her parents and sisters, is shy and reticent, and has always felt like the family outcast in Jed's eyes. Elsewhere, Sam gives a visiting movie producer a verbal lynching for publicly calling the president a coward after Charlie turns ...    "	2	"Ellie"	8.3
16	"On this year's ""Big Block of Cheese Day"", a college friend of Donna's asks Sam to help her get her late grandfather, accused of being a Communist spy inside the U.S. government, a presidential pardon; dealing with the recent revelation that his father had been having an affair for the past 27 years, Sam faces off with an F.B.I. agent, and later with Nancy McNally, over the pardon. Elsewhere, a group of cartographers completely re-educates C.J. on her perception of the globe, and one-time protester Toby, with the help of a straight-talking female security guard, speaks...    "	2	"Somebody's Going to Emergency, Somebody's Going to Jail"	8.7
17	"Josh finalizes a six billion-dollar health care that has strong support from both parties in both houses and appears to be a slam dunk for passage, but 78-year-old Senator Howard Stackhouse pulls a last-minute surprise: he wants money added for autism research or he'll filibuster. Thinking it's just a bluff, Josh blows off the senator, who then filibusters for more than eight hours while the w.w. staff waits desperately to begin their weekend, with the episode unfolding as staffers write e-mails to family members describing the evening's action. Elsewhere, Sam tries ...    "	2	"The Stackhouse Filibuster"	8.9
18	"Following the Vice-President's remarks to him, Toby realizes the truth behind the President's illness: multiple sclerosis. Toby, Leo, and Bartlet discuss the possible political implications of this if it goes public including possible jail time for the 17 people who now know about the illness. Meanwhile Sam, Josh, Donna and the rest of the staff, unaware of the illness, struggle with a speech the President is to give at the White House Correspondents Dinner.    "	2	"17 People"	8.9
19	"President Bartlett talks to the White House Counsel about the concealment of his MS. An enraged Toby has CJ grill the West Wing staff to find a leaker. Josh and Donna spar over a financial bailout of Mexico.    "	2	"Bad Moon Rising"	8.7
20	"White House Counsel Oliver Babbish interviews CJ once she learns of the President's condition. The First Lady learns she may be legally vulnerable. Donna frets over news of a falling satellite.    "	2	"The Fall's Gonna Kill You"	8.5
21	"With hypothetical polling numbers showing them its political suicide, staffers prepare to announce the President's condition. As they do, a military crisis flares up in Haiti and Josh faces off against two senators who are against the Government's tobacco-industry suit. But as bad as the day seems to be going, a tragedy will come from a car wreck at 18th and Potomac that will effect everything.    "	2	"18th and Potomac"	9.0
22	"As the Haitian army continues their seizure of the American embassy there, Bartlet and the staff prepare for the announcement that Bartlet has M.S. and the President must decide whether or he will seek re-election. As the funeral for Mrs. Landingham takes place and the announcement draws nearer, Bartlet thinks back to his past in search of the answer to the question everyone is asking: Will he seek re-election?    "	2	"Two Cathedrals"	9.7
1	"The West Wing goes under lock down as a suspected terrorist is found to be working at the White House. Stuck with a group of high school students who were visiting the White House, the staffers, President Bartlet, and the First Lady all debate the issues regarding terrorism. Meanwhile, Leo sits in on the questioning of the terrorist suspect and learns a lesson about our perceptions of terrorists.    "	3	"The West Wing: Isaac and Ishmael"	8.3
2	"The staff is hunkered down in the Bartlets' hometown of Manchester, N.H., where they work with political consultants Bruno, Doug and Connie on the president's official announcement that he'll be seeking a second term; meanwhile, they all lament various W.H. events of the previous four weeks, including a huge strategic mistake by Josh, a pivotal FDA announcement scheduled for the same day as the president's speech, an ongoing battle between then president and first lady, and a major press room gaffe by C.J.    "	3	"Manchester: Part 1"	8.3
3	"With the staff all bickering with one another in Manchester, especially adversarial speech writers Toby and Doug, who angrily disagree about whether Bartlet should make a public apology for lying about his MS, and with the president sniping at everyone, the second-term announcement speech is locked. Abby ultimately forgives the president for deciding to run again without discussing it with her, and he ultimately apologizes to the staff in private for keeping his condition from them, which they expect will soon lead to a whole slew of grand jury subpoenas.    "	3	"Manchester: Part 2"	8.3
4	"Special prosecutor Clem Rollins announces the grand jury subpoenas in the case of president's failure to disclose his MS to the public, and the list includes pretty much every West Wing staffer and Bartlet family member; Sam and Connie meet with an important Latino activist from Calif. who is considering supporting a primary challenger to Bartlet; C.J. convinces everyone that the special prosecutor is too reasonable, and that the W.H. needs a ""better enemy"" in the investigation, prompting the staff to provoke a Congressional inquiry.    "	3	"Ways and Means"	7.9
5	"While the w.h. is hosting a gala dinner for Nobel Prize winners, Leo and the president learn of a suicide bomb in an Israeli cafe that took the lives of two American students in Tel Aviv for a soccer match, and the staff attempts to manage the president's first veto, of a House bill eliminating the estate tax, and the threat of an override the same night. Sam and Toby first try to sway a contentious Dem. From Tennessee who wants a whole list of farming and ranching concessions in exchange for his vote and three proxies; after a pep talk from Leo, they devise a ...    "	3	"On the Day Before"	8.0
6	"After a fatal shooting in Texas, the president asks Hoynes to go down there and speak out for gun control, in spite of his history opposing it. Donna makes a gaffe in front of the Congressional committee. Leo argues with an old friend about the creation of an international war crimes tribunal.    "	3	"War Crimes"	8.1
7	"When the military loses contact with a submarine in hostile waters, the President must choose between risking the lives of the crew and provoking North Korea. CJ relishes the Majority Leader's flubbing of an interview. Babbish informs Abby that she is the weak link in the President's legal defense.    "	3	"Gone Quiet"	8.0
8	"On the day before Thanksgiving, CJ has to deal with two Stockbridge-Munsee Indians who won't leave the lobby until they get an answer on an application their tribe submitted 15 years ago. Josh tries to arrange the extradition of an underage boy whose parents sent him to Italy after he killed his teacher. The President learns why Abby wants to have Thanksgiving at Camp David this year, and places an anonymous call to the Butterball Hotline.    "	3	"The Indians in the Lobby"	8.3
9	"CJ cannot control her outrage when the US agrees to an arms sale to Qumar, a country that brutally abuses women. Josh meets with Amy Gardner, a leading women's group lobbyist. The content of a Smithsonian exhibit draws protest from a veteran's group. Leo and the President discuss options when the possibility of a Mad Cow infection strikes the US beef industry.    "	3	"The Women of Qumar"	8.1
10	"In an episode dotted with flashbacks, Leo and his attorney Jordon Kendall (Joanna Gleason) face a Congressional inquiry into whether the president lied to the American people regarding his MS, but this particular day of hearings concerns itself more with Abby and her secretly medicating Jed, and later with Leo's having fallen off the wagon during the campaign (a politically motivated Republican rep on the committee witnessed Leo drunk in his room three days before the nomination); we see the meeting in which Leo talked N.H. Governor Bartlet into running for president,...    "	3	"Bartlet for America"	9.1
11	"In a private, late-night, Cliff Calley informs Leo and Jordon he has negotiated a settlement in the Congressional witch hunt over Bartlet's MS: Bartlet can accept a joint congressional censure (House Concurrent Resolution 172, or H.Con. 172); Leo initially refuses to bring it to the president, insisting it will devastate the president and affect him for the rest of his life, but he does mull it over, and consults with Josh and repeatedly with Jordon about it; Josh begins his romantic pursuit of women's issues advocate Amy Gardner, but flubs it a couple of times while ...    "	3	"H. Con-172"	8.1
12	"On the night of the State of the Union, Sam has to explain the process of writing the speech and grading reaction to it to a magazine reporter (Traylor Howard) throughout the evening; C.J. arranged the coverage aware that the reporter, Lisa Sherbourn, is Sam's ex-fiancée; flashing back to the speechwriting process, we see the president dining with several of Abbey's medical colleagues, and they ponder the future of cancer research, motivating Bartlet to ask that a section be added to the SOTU in which he calls for U.S. scientists to find a cancer cure by 2012; the ...    "	3	"100,000 Airplanes"	8.1
13	"Toby is concerned when President Bartlett forgoes an opportunity to speak out in favor of affirmative action during the Iowa caucuses and confronts the President on the real reasons underlying his Dr. Jekyl & Uncle Fluffy personality shifts. Meanwhile Josh makes plans for a vacation with Amy and then must cancel them.    "	3	"The Two Bartlets"	8.0
14	"Josh covertly brings a psychiatrist to the white house to meet with the President who has been unable to sleep for five days.    "	3	"Night Five"	8.2
15	"A fictitious small town in N.H. is the site of the first presidential primary vote, and the results from Hartsfield's Landing, announced at 12:07 a.m., will dominate the news all day until the final tally, so Josh wants favorable press for the president, prompting to ask Donna to persuade a local couple she knows to reconsider their vote. Elsewhere, Bartlet has just returned from India with a collection of antique chess sets he gives as gifts to the staff. He plays Toby while they discuss their recent blow-up, Bartlet's insomnia and Toby's fervent belief that the ...    "	3	"Hartsfield's Landing"	8.5
16	"Another lively episode centered around a lavish W.H. party, this one for Abbey's birthday the night before a N.H. medical board begins hearings on whether to suspend her license over her secret treatment of her husband's MS. Abbey repairs to the residence with C.J. and Amy Gardener to get blitzed on wine and discuss her concerns about her medical career. Donna is restricted from joining the party because a decades-old cartography error puts her birthplace in Canada. Toby and U.K. Ambassador Lord John Marbury (Roger Rees) repair to a nearby bar to share a bottle of ...    "	3	"Dead Irish Writers"	8.4
17	"Poet laureate Tabitha Fortis visits D.C. to attend a White House dinner in her honor, and Toby develops a bit of a crush on her, but he also must admonish the somewhat flighty beauty against publicly criticizing the president for his refusal to sign an international anti-land mine treaty; Donna discovers a website devoted to Josh, and he soon becomes sucked into the online chat about his activities and ego; speaking via remote to a local morning show in Philadelphia and unaware that the mike is on, Bartlet makes a stray comment impugning opponent Robert Richie's ...    "	3	"The U.S. Poet Laureate"	8.1
18	"On a typical night in the west wing, Sam returns from a hockey game and Josh asks him to meet with V.P. Hoynes about saving an education bill. Back at the W.H., Josh, Toby, Leo, C.J., Larry and Ed all meet about the prospect of replacing Hoynes on the ticket in the next campaign. Bartlet helps Charlie do his federal taxes, and while both think Charlie should expect a refund, thanks to last year's so-called economic stimulus, he instead owes money to the IRS. A security emergency occurs when two trucks, one stolen and containing nuclear waste, crash in a tunnel in ...    "	3	"Stirred"	8.4
19	"A meeting with the new Russian president becomes politically dangerous when surveillance photos show Russia building a nuclear reactor in Iran. C.J. is assigned Secret Service protection after receiving death threats.    "	3	"Enemies Foreign and Domestic"	8.5
20	"The President and Leo deal with reports of a planned terrorist attack, but more shocking is who is behind it. Sam receives an anonymous package with bad implications for the campaign. C.J. chafes under her Secret Service protection.    "	3	"The Black Vera Wang"	8.3
21	"Bartlet and Leo debate on how to deal with the impending visit of the Qumari Defense Minister, whom U.S. intelligence officers have conclusively linked to terrorists. Sam dismisses an ingenious idea to trap Republican presidential opponent Robert Ritchie in an unsavory position over the Everglades, but comes around after talking to Toby. C.J. begins to develop a relationship with Secret Service agent assigned to her, Simon Donovan. Josh and Amy are locked into a battle over a welfare reform bill, whose outcome will cost one of them their job.    "	3	"We Killed Yamamoto"	8.4
22	"Bartlet, Leo, Sam, Toby, and C.J. travel to New York City for a Catholic fund raiser at a long Broadway play called ""The War of the Roses"". Josh steps up his efforts to beat his girlfriend, Amy, in their struggle over welfare reform, which leads to her forced resignation. C.J. and Secret Service agent Simon Donavon grow closer, but a tragic event cuts short their relationship. At the play, Bartlet comes face to face with Republican Presidential candidate Rob Ritchie and faces the decision of whether or not to assassinate the Qumari Defense Minister.    "	3	"Posse Comitatus"	9.0
1	"After Bartlet gives a campaign speech at an Indiana farm, Josh, Toby and Donna are left behind by the presidential motorcade and must work their way across the state with the help of the farmer's daughter and, later, a teenage campaign volunteer, enduring many setbacks along the way. Josh and Toby obsess and bicker over how best to play the president's intellectualism, viewed by many as snobbery, against Republican opponent Robert Ritchie's ""regular guy"" persona, while Donna must keep them on track and communicate with the real Americans they encounter along the way. ...    "	4	"20 Hours in America: Part I"	8.8
2	"Donna teaches Toby and Josh an important lesson as their trek homeward continues; Sam staffs the President in Josh's absence and welcomes an old friend home; Bartlet hires a secretary and C.J. finds a Big Brother for Anthony; the situation in Qumar continues to escalate; Bartlet gets spooked by a photo op as the Dow continues its dive; and a pipe bomb kills 44 students at a Midwest university swim meet.    "	4	"20 Hours in America: Part II"	8.8
3	"Josh and Toby have a plan to make college cheaper. Leo starts talking to a lawyer about the Shareef assassination. A judicial ruling on third-party candidates has troubling implications for the campaign.    "	4	"College Kids"	8.1
4	"A possible third-party candidate threatens to upset the President's lead in the polls. As Qumar threatens to blame Israel for Shareef's death, Leo must convince the Israeli ambassador not to respond. Charlie teaches his new ward a lesson in basic government. When the committee in charge of presidential debates rules that there will only be two, Sam and CJ propose a risky strategy.    "	4	"The Red Mass"	7.8
5	"Sequestered in North Carolina to prepare for the one and only debate between Bartlet and opponent Robert Richie, the staff and several consultants (incl. Andrea Wyatt and Joey Lucas) flash back to the days just before and after the president's first inauguration, which were marked by an ill-advised choice for attorney general and ongoing concerns about fertility for then-married Toby and Andrea. In the present, Sam plays Richie in mock debates and raises Bartlet's ire, while Leo and the joint chiefs try to convince the president not to treat increasingly aggressive ...    "	4	"Debate Camp"	8.2
6	"Toby falls prey to a practical joke by the rest of the staff, after which everyone but Leo takes off for the debate in San Diego. Sam makes a side trip to Newport Beach to explain to the congressional campaign manager of the late Horton Wilde why the campaign has to fold even though Wilde is still on the ballot; what Sam doesn't expect is a stalwart named Will Bailey who, determined to keep the ideas of the campaign alive, continues to hold campaign events and do door-to-door canvassing. In San Diego, a nervous w.w. staff readies itself to spin for the president, but ...    "	4	"Game On"	9.0
7	"As results come in across the country, Sam is focused on a single congressional election that will determine his own future. After realizing she accidentally voted for the Republican nominee, Donna tries to find a Ritchie supporter who will ""swap votes"" with her. The President tries to hide a recurrence of his M.S.    "	4	"Election Night"	8.6
8	"Sam finds himself in a tricky position after the election in Orange County takes an unexpected turn. Toby and his ex-wife also find themselves in a delicate position, but decidedly one of their own making. And CJ tracks down the self aggrandizing source of some Process Stories.    "	4	"Process Stories"	7.9
9	"A 15 year old boy needs a heart and lung transplant. He also happens to be the son of the Iranian Ayatollah who is not a supporter of the Bartlet Administration.    "	4	"Swiss Diplomacy"	7.7
10	"Women's groups, by default including the majority of the First Family, react passionately as a renowned female fighter pilot is sanctioned for an affair with a senior officer. Meanwhile Sam prepares for his campaign.    "	4	"Arctic Radar"	7.9
11	"Toby's estranged father appears in his office a couple of nights before Christmas. Leo and Jed find themselves trying to fix problems as well as their consciences.    "	4	"Holy Night"	8.2
12	"A fight for Foreign Aid brings the staff together. Meanwhile Danny is uncovering evidence that is making certain members of the administration increasingly uncomfortable.    "	4	"Guns Not Butter"	7.8
13	"C.J. takes a short trip to her home in Dayton to check on her father, who is suffering from Alzheimer's Disease, and to give a speech at her high school reunion; at the Dayton airport, she meets an old high school acquaintance and they have a quick fling.    "	4	"The Long Goodbye"	7.4
14	"It is the day of Bartlet's second inauguration and yet the celebrations stutter as the staff are stunned by a betrayal in their midst.    "	4	"Inauguration: Part 1"	8.0
15	"Will struggles to find the words when the Inauguration speech seems to avoid current heart breaking issues.    "	4	"Inauguration: Part 2 - Over There"	8.2
16	"The president, first lady and w.w. staff travel to Orange County, Calif., to campaign for Sam's bid to win the 47th District congressional seat -- the Nov. winner in the heavily Republican district was, amazingly, a liberal Democrat who, more amazingly, had died a few weeks prior. The president orders Toby to fire Sam's campaign manager, a staunch realist, and take over the campaign with a more idealistic approach. Some conservative voters approach Andrea Wyatt in a bar and give her grief about her out-of-wedlock pregnancy, and Toby and Charlie step in forcefully, ...    "	4	"The California 47th"	8.0
17	"Military action in the Middle East has unforeseen repercussions. Sam and Toby work together on the Orange County Campaign. Will has to find his leadership skills quickly as he is left with no one but interns to prepare remarks on the dry subjects of Taxes.    "	4	"Red Haven's on Fire"	7.9
18	"Amy is challenged and tormented from all sides in her first day as Chief of Staff to the First Lady. Her first task is to prove that Abbey's relative was a privateer and not a pirate. And a glacier melts!    "	4	"Privateers"	7.5
19	"The President, C.J. Cregg, Will Bailey, and others are returning from a long flight overseas. As Air Force One is about to land, the indicator light for the nose wheel fails to come on, prompting pilot Colonel Jessie Weiskopf to call off the landing, and notify the President of the possibility of terrorism. The White House Press Corps is on board, therefore CJ and Will must keep the story under wraps, due to it being a world market event. This becomes a challenge when a F-15 Eagle jet is sent to inspect the nose wheel on AFO. Meanwhile on the ground, Josh is working ...    "	4	"Angel Maintenance"	7.7
20	"Trying to participate in a late-night staff poker game proves difficult as news arrives that an unmanned U.S. spy plane has crashed in a remote part of Russia, and Bartlet and Leo have to deal with an incensed Russian President Chagorin and convince him via phone to let the military go in and recover the plane; C.J. obsesses over the fact that on the exact moment of the spring equinox (today), you can stand an egg on end; Toby and Will have a card-flipping contest in the press room, during which someone from the street fires several bullets into the room; Debbie must ...    "	4	"Evidence of Things Not Seen"	8.2
21	"On his first day on the job, the new deputy counsel uncovers a trail of clues to a scandal that will end one person's career.    "	4	"Life on Mars"	8.7
22	"The assassination of Shareef threatens to become public, the president speaks at Zoe's graduation, and the unthinkable happens.    "	4	"Commencement"	9.0
23	"In the wake of his daughter's kidnapping, Bartlet must make a decision between being a father and being President.    "	4	"Twenty Five"	9.2
1	"Seven hours have passed since Zoey's kidnapping and and the Republicans are in charge of the White House. Rifts are appearing in the leadership of both parties further complicated by the arrival of a ransom note demanding the release of terrorists.    "	5	"7A WF 83429"	8.6
2	"Zoey Barlet has been held for over a day. An international crisis looms that could have serious repercussions for the administration, let alone the hostage.    "	5	"The Dogs of War"	8.2
3	"With Bartlet back in the Oval Office, and back in his wife's bad books, the hunt for a Vice President begins.    "	5	"Jefferson Lives"	7.6
4	"A North Korean pianist announces his intention to defect in the Oval Office. While the staff passionately debate his request they also fight to get the President's choice of Vice President nominated by a new and hostile Speaker of the House.    "	5	"Han"	7.8
5	"While Will gets an enticing offer from the new Vice President, Josh finds himself responsible for a crucial mistake that could sorely embarrass the Administration. He isn't the only one on the wrong side of the tracks as Amy finds out first hand why she shouldn't handle the First Family.    "	5	"Constituency of One"	7.7
6	"Leo is left manning the fort when the President goes AWOL whilst visiting tornado victims. Josh is not in the position to lend a hand as he deals with the fallout from a gross miscalculation and lack of judgment.    "	5	"Disaster Relief"	7.7
7	"Deputy counsel Joe Quincy is quietly enlisted by Toby to approach the ailing Chief Justice about possible retirement. With Josh still incapable of lobbying effectively, Leo brings in help to hammer out the budget, but success looks a long way off with a hostile Speaker making negotiations tricky.    "	5	"Separation of Powers"	8.1
8	"President Bartlet refuses to let Speaker of the House Haffley hold him hostage on the budget and allows the government to be shut down.    "	5	"Shutdown"	8.7
